实体名称,中文名,中文名称,外文名,英文名称,简称,别名,国家代码,政治体制,国家领袖,首都,国土面积,所属洲,时区,货币,主要民族,主要宗教,主要城市,官方语言,国歌,国庆日,最大城市,国家象征,法律体系,行政区划代码,行政区类别,所属地区,地理位置,下辖地区,政府驻地,著名景点,著名学府,省长,省委书记,州长,参议员,市长,市委书记,县长,主要组织,包含国家
费城,费城,,"Philadelphia, 简称Philly",,,"费拉德尔菲亚,兄弟之爱之城",,,,,,,,,,,,,,,,,,,"市,都会区",美国宾夕法尼亚州,北美洲东北部阿巴拉契亚山东北山麓台地,费城县,费城,"费城艺术博物馆,马特医学博物馆",,,,,,Michael Nutter,,,,
延及,延及,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南本德,南本德,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
也门,,也门共和国[3] ,,The Republic of Yemen[3] ,也门,,YEM,联邦制,总统:阿卜杜·拉布·曼苏尔·哈迪,亚丁(临时首都)、萨那(法定首都)[4] ,"527,970平方公里",亚洲,UTC+3,也门里亚尔,阿拉伯人,伊斯兰教,荷台达,阿拉伯语[3] ,《联合共和国》,5月22日[3] ,,,,,,,,,,,,,,,,,,,,
巴格达国际机场,巴格达国际机场,,Baghdad Airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
古罗马,古罗马,,Ancient Rome,,罗马,,,君主专制政体,恺撒、屋大维、图拉真 等,罗马城,约 5000000 km2,欧洲,,"奥雷,第纳尔,塞斯太尔斯,杜蓬帝,阿司,塞米,卡德拉斯",罗马人,多神教[2] ,那不勒斯等,拉丁语,,,,,,,,,,,,,,,,,,,,,,
北美大陆,北美大陆,,,,,,,,,,,北美洲,,,,,,,,,,,,,,,,,,,,,,,,,,,,
杭州,杭州,,Hangzhou City,,,临安、钱塘、武林、杭城,,,,,,,,,,,,,,,,,,330100,地级市[12] ,中国华东地区,"浙江省北部,钱塘江下游,京杭大运河南端",10个区、2个县、代管1个县级市,江干区解放东路18号(邮编:310026)[13] ,西湖、京杭大运河、西溪湿地、灵隐寺、六和塔、千岛湖等,,,,,,,,,,
洛根国际机场,爱德华·劳伦斯·洛根将军国际机场,,General Edward Lawrence Logan International Airport,,,,,,,,,,,,,,,,,,,,,,,美国马萨诸塞州波士顿,,,,,,,,,,,,,,
奥黑尔国际机场,奥黑尔国际机场,,O'Hare International Airport,,,,,,,,,,,,,,,,,,,,,,,美国伊利诺伊州芝加哥市,,,,,,,,,,,,,,
维吉尼亚,,维吉尼亚,,,,,,,,,,,,,,,,,,,,,,,镇,洪都拉斯,,,,,,,,,,,,,,
肯尼迪国际机场,纽约约翰·菲茨杰拉德·肯尼迪国际机场,,John F. Kennedy International Airport,,纽约肯尼迪机场,,,,,,,,,,,,,,,,,,,,,美国纽约州纽约皇后区,,,,,,,,,,,,,,
鲁,山东,,Shandong,,,齐鲁、海岱,,,,,,,,,,,,,,,,,,,省,中华人民共和国,中国大陆东部沿海,16个地级市[8] ,济南市历下区省府前街1号,泰山、崂山、三孔、微山湖、沂蒙山、趵突泉、栈桥、蓬莱阁等,,,,,,,,,,
南中国海,南海,,South China Sea,,,,,,,,,,,,,,,,,,,,,,,,"中国大陆的南方,太平洋西部",,,,,,,,,,,,,
蒙古,蒙古国,,Mongolia,,蒙古,,MNG,议会制共和制,哈勒特马·巴特图勒嘎(总统)、乌赫那·呼日勒苏赫(总理),乌兰巴托,1566500 km2,亚洲,UTC+8,图格里克(MOT),喀尔喀蒙古族、哈萨克族[1] ,藏传佛教[1] ,额尔登特、达尔汗、乔巴山、温都尔汗等,蒙古语,《蒙古国国歌》,,,,,,,,,,,,,,,,,,,,,
波斯湾,波斯湾,,Persian Gulf,,,,,,,,,,,,,,,,,,,,,,,中东,印度洋边缘海,,,,,,,,,,,,,
海湖庄园,海湖庄园,,Mar-a-Lago,,,冬季白宫,,,,,,,,,,,,,,,,,,,,,美国佛罗里达州棕榈滩,,,,,,,,,,,,,
霍尔木兹海峡,,霍尔木兹海峡,,,,石油海峡,,,,,,,,,,,,,,,,,,,,伊朗的岛屿;阿曼的北部,阿拉伯半岛阿曼角与伊朗南部之间,,,,,,,,,,,,,
红海,红海,,Red Sea,,,,,,,,,,,,,,,,,,,,,,,,阿拉伯半岛和非洲之间的狭长海域,,,,,,,,,,,,,
沙特阿拉伯,,沙特阿拉伯王国[3] ,,Kingdom of Saudi Arabia,沙特阿拉伯、沙特,,SAU,君主专制政体,国王:萨勒曼·本·阿卜杜勒-阿齐兹,利雅得,"2,250,000平方公里",亚洲,UTC+3,沙特里亚尔[3] ,阿拉伯人,伊斯兰教-逊尼派,吉达、麦加、麦地那、达曼等,阿拉伯语[3] ,《我们敬爱的国王万岁》,9月23日[3] ,,,,,,,,,,,,,,,,,,,,
巴格达,巴格达,,Baghdad(英语)、بغداد(阿拉伯语),,,报达、巴哈塔,,,,,,,,,,,,,,,,,,,首都,伊拉克,伊拉克中部,,,"巴格达古城,费萨尔一世陵墓,国际会议中心大厦,巴比伦酒店",,,,,,,,,,
印第安纳波利斯,印第安纳波利斯,,Indianapolis,,,,,,,,,,,,,,,,,,,,,,,美利坚合众国,,马里恩、亨德里克斯,,,,,,,,,,,,
路易斯维尔,,路易维尔,,,,,,,,,,,,,,,,,,,,,,,,,肯塔基州中北部,,,河滨公园,,,,,,,,,,
休斯顿,休斯敦,,Houston,,,休斯顿、太空城(Space City),,,,,,,,,,,,,,,,,,,市,德克萨斯州,,,休斯顿市中心,,,,,,,,,,,
孟菲斯,孟菲斯,,Memphis,,,崖城,,,,,,,CST,,,,,,,,,,,,县治,田纳西州,田纳西州最西南端,,,格拉卡教堂,,,,,,W. W. Herenton,,,,
圣保罗,,圣保罗,,,,,,,,,,,西三区,,,,,,,,,,,,首府,巴西联邦共和国圣保罗州,巴西联邦共和国东南部,,圣保罗,圣保罗大教堂,,,,,,,,,,
国会山庄,渥太华国会山庄,,Parliament Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宾夕法尼亚,,宾夕法尼亚州,,,,"宾州(简称),拱心石州、教友派之州、里程碑州、贵格州、煤炭州",,,,,,,,,,,,,,,费城(Philadelphia),,,,州(联邦),美国东部,,费城、匹兹堡等67个县,哈里斯堡(Harrisburg),,,,,,,,,,,
北卡罗莱纳州,,北卡罗来纳州,,,,“焦油脚跟之州” 或“老北州”,,,,,,,,,,,,,,,,,,,州,美国,美国东海岸中部,,罗利,大烟山国家公园,,,,,,,,,,
金门,,金门县,,,,仙洲、浯岛,,,,,,,,,,,,,,,,,,350527,县,福建省泉州市[1] ,福建省南部泉州市[1] ,3个镇、3个乡,金城镇,莒光楼、邱良功母节孝坊、太武山、金门国家公园、古宁头战史馆,,,,,,,,,,
加的夫,加的夫,,Cardiff,,,卡迪夫,,,,,,,,,,,,,,,,,,,,大不列颠及北爱尔兰联合王国威尔士,,,,加的夫城堡、威尔士国立博物馆和美术馆、千年球场、加的夫湾,,,,,,,,,,
北爱尔兰,北爱尔兰,,Northern Ireland,,,,,议会制君主立宪制,首席部长:彼得·罗宾逊;副部长:马丁·麦吉尼斯,贝尔法斯特,14139 km2,欧洲,,"北爱尔兰镑,英镑",爱尔兰人,基督新教、天主教,"伦敦德里,纽里等",爱尔兰语、英语,《天佑女王》,,,,,,,,,,,,,,,,,,,,,
格拉斯哥,格拉斯哥,,Glasgow,,,,,,,,,,,,,,,,,,,,,,市,英国 苏格兰,,,,格拉斯哥大教堂,,,,,,,,,,
英伦,,大不列颠及北爱尔兰联合王国,,United Kingdom,英伦三岛,,,议会制君主立宪制,,伦敦,,欧洲,,,,,"加的夫,爱丁堡,贝尔法斯特等",,,,,,,,,,,,,,,,,,,,,,,
桥头堡,桥头堡,,bridgehead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
沙田,沙田镇,,,,,,,,,,,,,,,,,,,,,,,,镇,广东省东莞市,东莞市西南部,16个村和2个社区,东莞市沙田镇横流南路46号,海鲜长廊、荷塘美景、先锋渔港等,,,,,,,,,,
俄克拉荷马州,,俄克拉何马州,,,,抢先之州 Sooner State,,,,,,,,,,,,,,,,,,,州,美国中南部,,塔尔萨、劳斯顿、诺曼等,俄克拉荷马城,,,,,,,,,,,
阿拉巴马州,,亚拉巴马州,,,,迪克西心脏、山茶花州,,,,,,,,,,,,,,,伯明翰,,,,联邦州,美国东南部,位于东南部地区,67个县,蒙哥马利市,,,,,罗伯特·本特利,,,,,,
萨摩亚,,萨摩亚独立国[1] ,,The Independent State of Samoa[1] ,萨摩亚,,WSM,共和制,国家元首:图伊马莱阿利法诺·瓦莱托阿·苏阿劳维二世[1] ,阿皮亚[1] ,2934平方公里[1] ,大洋洲,+12,塔拉[1] ,萨摩亚人[1] ,基督新教[1] ,阿皮亚,萨摩亚语[1] ,《自由的旗帜》,6月1日[1] ,,,,,,,,,,,,,,,,,,,,
海港,海港区,,Haigang district,,,中国夏都;北京后花园,,,,,,,,,,,,,,,,,,130302,市辖区,中国·河北·秦皇岛,"南邻渤海,北依燕山",13个街道 、8个镇、1个开发区,秦皇东大街49号,秦皇求仙入海处·蟠桃峪·板厂峪·新澳海底世界·秦皇植物园,,,,,,,,,,
普莱瑟县,,普莱瑟县,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
艾伯塔省,,阿尔伯塔省,,,,艾伯塔省、亚伯达省,,,,,,,,,,,,,,,,,,,一级行政区,加拿大,,,埃德蒙顿,,,,,,,,,,,
柬埔寨,柬埔寨王国[1] ,,Kingdom of Cambodia,,柬埔寨,,KHM,议会制君主立宪制,"国王:诺罗敦·西哈莫尼,首相:洪森",金边[1] ,181035 km2,亚洲,UTC+7,柬埔寨瑞尔,高棉族,上座部佛教,"马德望,暹粒,西哈努克市",柬埔寨语[1] ,《吴哥王国》(Nokoreach),1953年11月9日[1] ,金边,,,,,,,,,,,,,,,,,,,
蒙古国,蒙古国,,Mongolia,,蒙古,,MNG,议会制共和制,哈勒特马·巴特图勒嘎(总统)、乌赫那·呼日勒苏赫(总理),乌兰巴托,1566500 km2,亚洲,UTC+8,图格里克(MOT),喀尔喀蒙古族、哈萨克族[1] ,藏传佛教[1] ,额尔登特、达尔汗、乔巴山、温都尔汗等,蒙古语,《蒙古国国歌》,,,,,,,,,,,,,,,,,,,,,
内蒙,内蒙古,,Nei Mongol; Inner Mongolia,,,内蒙、塞北,,,,,,,,,,,,,,,,,,150000,自治区,中国华北,中国北部边疆,9个地级市、3个盟,呼和浩特市敕勒川大街1号,额济纳胡杨林、居延海、呼伦贝尔草原、响沙湾、阿尔山等,,,,,,,,,,
拉达克,拉达克,,लद्दाख़(印地语)、لدّاخ(阿拉伯语),,,小西藏、麻域,,,,,,,,,,,,,,,,,,,地区,,青藏高原西部边缘,列城(Leh)、巴尔蒂斯坦,,,,,,,,,,,,
内蒙古,内蒙古,,Nei Mongol; Inner Mongolia,,,内蒙、塞北,,,,,,,,,,,,,,,,,,150000,自治区,中国华北,中国北部边疆,9个地级市、3个盟,呼和浩特市敕勒川大街1号,额济纳胡杨林、居延海、呼伦贝尔草原、响沙湾、阿尔山等,,,,,,,,,,
中捷,,中捷,,,,中捷农场、中捷产业园区、临港经济技术开发区,,,,,,,,,,,,,,,,,,,县级产业园区,河北省沧州渤海新区,河北省东南部渤海西岸,"辖15个生产队,11个行政自然村,黄骅新城中捷片区",创业路与广场东街交口,世博园、七星湖公园,,,,,,,,,,
蒙斯,,蒙斯,,,,,,,,,,,,,,,,,,,,,,,,比利时西南部,,,,,,,,,,,,,,
大西洋,大西洋,,英语:Atlantic Ocean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
沙洲,沙洲,,ShaZhou,,,MC沙洲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
印尼,印度尼西亚共和国[1] ,,The Republic of Indonesia;Indonesia,,印度尼西亚、印尼,,IDN,总统制共和制,总统:佐科·维多多[1] ,雅加达[1] ,1913578.68 km2[5] ,亚洲,UTC+7至UTC+9,印度尼西亚盾,爪哇族、巽他族、马都拉族、马来族[1] ,伊斯兰教[1] ,"泗水,万隆,棉兰,日惹等",印度尼西亚语[1] ,《伟大的印度尼西亚》,1945年8月17日[1] ,雅加达,,,,,,,,,,,,,,,,,,,
广东,广东,,Guangdong Province,,,南粤,,,,,,,,,,,,,,,,,,440000,省,中国华南,"中国南岭以南,南海之滨",21个地级市、20个县级市,广州市越秀区东风中路305号[19] ,丹霞山、长隆欢乐世界、华侨城、白云山、雁南飞、观澜湖、罗浮山,,,,,,,,,,
中业岛,,中业岛,,,,铁峙,,,,,,,,,,,,,,,,,,,市辖岛礁,中业群礁," 11° 3'6.19""北  114°17'11.63""东",,,铁峙水道,,,,,,,,,,
帕拉塞尔群岛,西沙群岛,,Xisha Islands or Paracel Islands,,,千里长沙,,,,,,,,,,,,,,,,,,,,中国 南海,南海中部、海南省东南部,,,西沙海洋博物馆、收复西沙纪念碑,,,,,,,,,,
西沙群岛,西沙群岛,,Xisha Islands or Paracel Islands,,,千里长沙,,,,,,,,,,,,,,,,,,,,中国 南海,南海中部、海南省东南部,,,西沙海洋博物馆、收复西沙纪念碑,,,,,,,,,,
南沙群岛,南沙群岛,,"Spratly Islands,越南语:Quần đảo Trường Sa,马来语、印尼语:Kepulauan Spratly;他加禄语:Kapuluang Spratly",,,万里石塘,,,,,,,,,,,,,,,,,,,,中国 南海,南海南部,,,永暑礁、美济礁等,,,,,,,,,,
南中,,南中,,,,南蛮,,,,,,,,,,,,,,,,,,,,中国西南,西南云贵地区,牂柯、越嶲、朱提、建宁、永昌、云南、兴古等七郡,,,,,,,,,,,,
美济礁,,美济岛,,,,"双门,双沙",,,,,,,,,,,,,,,,,,,村,三沙市南沙区美济社区,"位于北纬9.9082度,东经115.5349度",南沙东北部岛礁,,"渔村美济社区,首任村长林载亮",,,,,,,,,,
永暑礁,永暑礁,,,,,上土戊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
永兴岛,,永兴岛,,,,猫峙、巴注、林岛,,,,,,,,,,,,,,,,,,,区级政府驻地[2] ,海南省三沙市,西沙群岛宣德群岛,西沙群岛、中沙群岛、南沙群岛,三沙市北京路,收复西沙纪念碑、西沙海洋博物馆,,,,,,,,,,
菲律宾海,菲律宾海,,Philippine Sea,,,,,,,,,,,,,,,,,,,,,,,"亚太区域,并不属菲律宾",西太平洋的海盆,,,,,,,,,,,,,
成都,成都,,Chengdu,,,蓉城、锦城、芙蓉城、锦官城、天府之国,,,,,,,,,,,,,,,,,,510100,地级市,四川省,"西南地区、岷江中游,成都平原腹地",12个市辖区、5个县级市、3个县,武侯区桂溪街道锦悦西路2号,都江堰、青城山、杜甫草堂、武侯祠、金沙遗址、青羊宫,,,,,,,,,,
西南,西南地区,,Southwest of China,,,中国西南,,,,,,,,,,,渝、蓉、筑,,,,,,,,,中华人民共和国,四川盆地、云贵高原、青藏高原南部,重庆、四川、贵州、云南、西藏,重庆、成都、贵阳、昆明、拉萨,九寨沟-黄龙、都江堰、青城山、西双版纳、丽江、黄果树瀑布等,川大、电子科大、西南交大、重大、云大、贵大、西南财大等,,,,,,,,,
西藏自治区,西藏,,Xizang、Tibet、བོད་རང་སྐྱོང་ལྗོངས།(藏)、Poi Ranggyong Jong(藏语拼音)、Bod rang skyong ljongs(威利转写),,,藏、乌斯藏、吐蕃,,,,,,,,,,,,,,,,,,,自治区,中国西南地区,"中国西南地区边疆,青藏高原西南部",6个地级市、1个地区,拉萨市康昂路1号,布达拉宫、大昭寺、甘丹寺、珠穆朗玛峰、雅鲁藏布江等,,,,,,,,,,
沈阳,沈阳,,Shenyang、Mukden,,,侯城、沈州、东方鲁尔、奉天、盛京[20] ,,,,,,,,,,,,,,,,,,210100,副省级市[21] ,中国东北地区,"中国东北地区南部,辽宁省中部","10个区、2县,代管1个县级市",辽宁省沈阳市浑南区沈中大街206-3号,沈阳故宫、清昭陵、清福陵、张氏帅府、沈阳怪坡、棋盘山,,,,,,,,,,
南溪,,南溪区,,,,戎州,,,,,,,,,,,,,,,,,,511503,市辖区,四川省宜宾市,四川南部、长江上游,下辖3个街道、8个镇、5个乡(2018年),南溪街道,南溪古街、朱德旧居、南溪长江第一湾、云台山森林公园[1] ,,,,,,,,,,
里斯本,里斯本,,葡萄牙语 Lisboa;英语 Lisbon,,,,,,,,,,,,,,,,,,,,,,葡萄牙首都,葡萄牙,,,,"圣乔治城堡,航海纪念碑,贝伦塔,热罗尼姆斯修道院等",,,,,,,,,,
莫洛托夫,莫洛托夫,,Molotov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
克罗地亚,克罗地亚共和国[1] ,,The Republic of Croatia[1] ,,克罗地亚,,HRV,议会制共和制,总统:佐兰·米拉诺维奇、总理:安德烈·普连科维奇[1] ,萨格勒布[1] ,56594 km2[1] ,欧洲,UTC+1,库纳(kuna)[1] ,克罗地亚人[3] ,天主教[3] ,"斯普利特,里耶卡,奥西耶克,扎达尔,斯拉沃尼亚布罗德,普拉等[3] ",克罗地亚语[1] ,《我们美丽的祖国》,6月25日[1] ,萨格勒布,,,,,,,,,,,,,,,,,,,
昆士兰,,昆士兰州,,,,,,,,,,,UTC+10,,,,,,,,,,,,一级行政区,澳大利亚联邦,澳大利亚东北部,布里斯班等,布里斯班,黄金海岸、大堡礁国家公园等,,,,,,,,,,
摩尔多瓦,,摩尔多瓦共和国[1] ,,The Republic of Moldova[1] ,摩尔多瓦,,MDA,议会制共和制,"总统:伊戈尔·多东,总理:扬·基库[2] ",基希讷乌[1] ,"33,800平方公里",欧洲,UTC+2(夏时制:UTC+3),摩尔多瓦列伊(MDL)[1] ,摩尔多瓦人,东正教[1] ,"蒂拉斯波尔,伯尔兹等[1] ",摩尔多瓦语,《我们的语言》,1991年8月27日,基希讷乌,,,,,,,,,,,,,,,,,,,
唐宁街10号,唐宁街10号,,10 Downing Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月球,月球,,The Moon,,,月亮、太阴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
青海,青海,,Qinghai,,,西海、中华水塔,,,,,,,,,,,,,,,,,,,省,中国西北地区,西北地区南部,2个地级市、6个自治州,西宁市城中区西大街12号,青海湖、塔尔寺、昆仑山、可可西里、三江源,,信长星[6] ,,,,,,,,
浙江,浙江,,Zhejiang,,,之江、鱼米之乡,,,,,,,,,,,,,,,,,,,省,华东地区,"中国大陆东南沿海,长江三角洲南翼","11个地级市,20个县级市",杭州市西湖区省府路8号,西湖、乌镇、良渚古城遗址、千岛湖、普陀山、横店影视城、雁荡山,,,,,,,,,,
科罗拉多,,科罗拉多州,,,,,,,,,,,,,,,,,,,,,,,州,美国西南,,,丹佛市,,,,,约翰·希肯卢珀,"马克·尤德尔,麦克·班尼",,,,,
尼克松图书馆,尼克松图书馆,,Richard Nixon Library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京国家体育场,国家体育场,,National Stadium,,,鸟巢(英文: Bird's Nest)[7] ,,,,,,,,,,,,,,,,,,,,,,,,鸟巢空中走廊,,,,,,,,,,
中亚,中亚,,Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
斯里兰卡,斯里兰卡民主社会主义共和国,,The Democratic Socialist Republic of Sri Lanka;Sri Lanka,,斯里兰卡,,LKA,总统制共和制,总统:戈塔巴雅·拉贾帕克萨、总理:拉尼尔·维克拉马辛哈[1] ,科伦坡、斯里贾亚瓦德纳普拉科特[1] ,65610 km2[1] ,亚洲,UTC+5:30,斯里兰卡卢比[1] ,僧伽罗族、泰米尔族,佛教、印度教、伊斯兰教、基督教[1] ,康提、阿努拉德普勒等[1] ,僧伽罗语、泰米尔语[1] ,"《顶礼,顶礼,母亲》[1] ",1948年(戊子年)2月4日,,,,,,,,,,,,,,,,,,,,
马德普拉塔,,马德普拉塔,,,,,,,,,,,,,,,,,,,,,,,市,布宜诺斯艾利斯州,"南纬38°00’,西经57°32’",,,"海洋公园,海滨社区",,,,,,,,,,
巴塔哥尼亚,巴塔哥尼亚,,Patagon,,,,,,,,,,,,,,,,,,,,,,,阿根廷巴塔哥尼亚地区、智利南部,"南美洲安第斯山脉以东,科罗拉多河以南","阿根廷内乌肯省、里奥内格罗省等,智利伊瓦涅斯将军的艾森大区等",,莫雷诺冰川,,,,,,,,,,
内乌肯,内乌肯,,Neuquén,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
火星,火星,,Mars(英语)Martis(拉丁语),,,"荧惑,战神玛尔斯星",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
悬崖村,,阿土列尔村,,,,悬崖村[2] ,,,,,,,,,,,,,,,,,,,四川省凉山彝族自治州昭觉县支尔莫乡,中国西南,四川省西南部,,阿土列尔村,,,,,,,,,,,
哈萨克斯坦,哈萨克斯坦共和国[1] ,,The Republic of Kazakhstan,,哈萨克斯坦、哈萨克,,KAZ[6] ,总统制共和制,总统:卡瑟姆若马尔特·托卡耶夫,努尔苏丹,2724900 km2,亚洲,UTC+3至UTC+6,哈萨克斯坦坚戈(KZT)[1] ,哈萨克人、俄罗斯人[1] ,伊斯兰教、东正教[1] ,阿拉木图、卡拉干达、乌拉尔等[1] ,哈萨克语、俄语[1] ,《我的哈萨克》,1991年12月16日,,雪豹、金雕,欧陆法系,,,,,,,,,,,,,,,,,
吉尔吉斯斯坦,,吉尔吉斯共和国,,Kyrgyz Republic,吉尔吉斯斯坦,,KGZ,议会制共和制,总统:索隆拜·热恩别科夫;总理:库巴特别克·博罗诺夫,比什凯克,199951平方公里,亚洲,UTC+6,吉尔吉斯斯坦索姆,吉尔吉斯族、乌兹别克族、俄罗斯族等族,伊斯兰教-逊尼派,巴特肯、贾拉拉巴德等,"吉尔吉斯语为国语,俄语为官方语言",《吉尔吉斯共和国国歌》,1991年8月31日,比什凯克,,,,,,,,,,,,,,,,,,,
塔吉克斯坦,,塔吉克斯坦共和国,,The Republic of Tajikistan,塔吉克斯坦、塔吉克,,TJK,总统制共和制,总统:埃莫马利·拉赫蒙、总理:科基尔·拉苏尔佐达,杜尚别[1] ,14.31万平方公里[1] ,亚洲,UTC+5,塔吉克斯坦索莫尼,塔吉克族79.9%、乌孜别克族15.3%、俄罗斯族1.1%、其他种族2.6%,伊斯兰教-逊尼派[1] ,杜尚别,塔吉克语(国语);俄语(通用语)[1] ,《塔吉克斯坦共和国国歌》,1991年9月9日,,,欧陆法系,,,,,,,,,,,,,,,,,
乌兹别克斯坦,,乌兹别克斯坦共和国[1] ,,Republic of Uzbekistan,乌兹别克斯坦[1] ,,UZB,总统制共和制,"总统:沙夫卡特·米尔济约耶夫,总理:阿卜杜拉·阿里波夫[3] ",塔什干[1] ,44.89万平方公里,亚洲,UTC+5,乌兹别克斯坦苏姆[1] ,乌孜别克族[1] ,伊斯兰教-逊尼派[1] ,塔什干等,乌兹别克语[1] ,《乌兹别克斯坦共和国国歌》,1991年9月1日,,,,,,,,,,,,,,,,,,,,
九龙区,九龙区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,九龙公园,,,,,,,,,,
佐敦,佐敦,,Jordan Road,,,,,,,,,,,,,,,,,,,,,,,香港油尖旺区西南部,,,,,,,,,,,,,,
悉尼,,悉尼,,,,雪梨,,,,,,,,,,,,,,,,,,,首府,澳大利亚新南威尔士州,澳大利亚东南部,,,维多利亚女王大厦、悉尼歌剧院、邦迪海滩、悉尼塔、港湾大桥,悉尼大学、新南威尔士大学,,,,,,,,,
维多利亚州,,维多利亚州,,,,花园之州,,,,,,,,,,,,,,,,,,,一级行政区,澳大利亚联邦,位于澳大利亚大陆东南端,墨尔本等,墨尔本,菲利普岛、皇家植物园等,,,,,,,,,,
堪培拉,堪培拉,,Canberra,,,大洋洲的花园城市,,,,,,,,,,,,,,,,,,,首都,澳大利亚,"南纬35°,东经149°",,,伯利·格里芬湖、国会大厦、澳大利亚国家图书馆,,,,,,,,,,
新南威尔士州,,新南威尔士州,,,,新州、纽修威省、纽省,,,,,,,,,,,,,,,,,,,一级行政区,澳大利亚联邦,位于澳大利亚东南部,悉尼市等,悉尼市,悉尼歌剧院、海港大桥等,,,,,,,,,,
墨尔本,墨尔本,,Melbourne,,,新金山、猫本,,,,,,,UTC+10,,,,,,,,,,,,首府,"大洋洲,澳大利亚,维多利亚州","南纬38°,东经145°",Burwood Boxhill Ringwood,墨尔本,大洋路、企鹅岛、维多利亚市场、墨尔本皇家植物园等,,,,,,,,,,
不列颠岛,不列颠岛,,Great Britain,,,,,,,,,,,,,,,,,,,,,,,,欧洲西北部,,,,,,,,,,,,,
