实体名称,中文名,外文名,别名,性别,国籍,民族,祖籍,出生地,出生日期,职业,职务,职称,所属政党,政党,语言,净资产,毕业院校,学历,信仰,主要成就,代表作品,父母,妻子,人物评价,人物影响,对华关系,对华政策,政见,立场,军衔
胡安·庞塞·德莱昂,胡安·庞塞·德莱昂,Juan Ponce de León,,,西班牙,,,西班牙巴利亚多利德,1474年,征服者、探险家,,,,,,,,,,1513年发现佛罗里达,,,,,,,,,,
麦克纳尼,麦克纳尼,Joe McNerney(Joseph John McNerney),,,英格兰,,,彻特西,1990年1月24日,,,,,,,,沃金青训,,,,,,,,,,,,,
弗朗西斯·柯林斯,弗朗西斯·柯林斯,,,,美国,,,,,,,,,,,,,,,,,,,,,,,,,
王建刚,王建刚,Jian-Gang Wang ,,男,中国,,,安徽亳州,1963年5月,,,,,,,,杭州商学院,,,,,,,,,,,,,
梅嫩德斯,梅嫩德斯,Menendez,,,西班牙,,,,1966/2/1,,,,,,,,,,,,,,,,,,,,,
莫斯科,莫斯科,Москва(俄语)、Moscow(英语),五海之港、森林中的首都、千顶之城,,,,,,,,,,,,,,,,,,,,,,,,,,,
劳伦斯·巴科,劳伦斯·巴科,Lawrence Bacow,白乐瑞[1] ,男,美国,,,底特律,1951年,教育家、律师,,,,,,,麻省理工学院、哈佛大学,,,哈佛大学第29任校长美国艺术和科学学院院士,,,,"巴科的当选在哈佛内外获得了广泛赞誉。哈佛董事会的威廉·李说，在遴选过程中，哈佛内外的很多人都推举了巴科。他高度评价巴科，“他是美国高等教育中一位备受尊敬、有深刻见地、经验丰富的领导人。他是少数几位了解大学也了解哈佛的人。”
哈佛校长福斯特对巴科的当选表示祝贺和欣喜。她说，自从我上任伊始就知道，无论作为朋友、同为校长，还是近年来作为董事会成员，巴科都是智慧之源。“他理解高等教育的力量所在，就是要拓展知识、强化社会、提高生活质量。”但他也对当下高等教育所面临的挑战保持警惕，也身体力行地尽其所能去创造机遇，解决所遇到的问题。
普林斯顿大学前任校长、哈佛大学董事会成员提尔曼说，巴科集丰富的学术经验、对哈佛深入的了解和智慧这种无形的素质于一身，达到了一种完美的融合。在哈佛董事会与其合作的几年中，她亲眼目睹了巴科宽厚待人，对所有前来向他求教的哈佛内外的高校领导人都慷慨大方地提供帮助。
与巴科在MIT共事多年的柏敬诺是一位出色的物理学家，曾出任多伦多大学的校长，现任加州大学伯克利分校校长。他同样给予了巴科高度的评价。他说，从巴科担任MIT教师部主任那一刻起，他就致力于学术卓越的建设，重视学生，强调跨学科研究。
然而，作为白人的巴科当选为校长后，也有一些哈佛师生感到失望。因为在这次遴选过程中，有不少哈佛学生包括校友都希望遴选委员会考虑候选人的多元文化背景，特别是希望他们能够优先考虑有着代表性不足之背景的候选人，即包括非裔、亚裔、西班牙裔等在内的所谓非主流群体。
但正如李所说，现在是高等教育发展的关键时刻，挑战与机遇并存，敦促着人们去追求新的知识，努力强化教育，思考如何服务社会；但这也是一个高等教育与大学中学术研究的独特价值不断遭到人们挑战甚至质疑的时代。这样一个时代，呼唤的是富有才干的领导人，需要他们具有策略性思维与严谨的执行力，而巴科就是这样的不二人选。",,,,,,
塞夫,塞夫,,,,中国,蒙古族,,,1953年10月,导演、编剧,,,,,,,"吉林大学中文系,北京电影学院文学系",,,第8届中国电影华表奖优秀导演奖第18届中国电影金鸡奖最佳导演奖第4届中国长春电影节最佳导演奖,东归英雄传、天上草原、一代天骄成吉思汗,,麦丽丝,"在中国电影圈内，塞夫导演是公认拍摄草原战争场面最具功力的导演 [13]  （搜狐娱乐评），他是一个非常执着的电影人，在拍摄历史战争片《悲情布鲁克》的时候，有一个镜头需要表现主人公连人带马从数百米高的悬崖坠下，因为受资金所限，找不到替身，塞夫导演竟然亲自上阵实验 [7]  （麦丽丝评）。
从内蒙古草原上走来的塞夫导演，以拍摄少数民族人文风情的影片见长，为世人塑造了众多民族英雄的不朽形象，同时也向世界影坛展示了中国电影的独特魅力。他的影片既有宏大的战争场面，也有马背上美轮美奂的铁骨柔肠，他的电影里充满了激情",,,,,,
唐尼,小罗伯特·约翰·唐尼,Robert John Downey Jr.,Bob、RDJ、妮妮,,美国,,,美国纽约,1965年4月4日,演员、歌手,监制,,,,,,,,,第65届奥斯卡金像奖最佳男主角提名第81届奥斯卡金像奖最佳男配角提名第58届金球奖最佳电视短剧/电视电影男配角第67届金球奖喜剧或音乐类影片最佳男主角《时代周刊》2008年度百大影响力人物,钢铁侠、卓别林、大侦探福尔摩斯、复仇者联盟,,苏珊·唐尼,"小罗伯特·唐尼天生就是演戏的材料
，他在电影《火爆小子》中塑造的痞子角色确立了他的另类路线，《摩登保姆》则让好莱坞嗅到他身上的无限潜力 [109]  。从《天生杀人狂》中偏激的电视主持人，到《查理三世》里说一口“伦敦腔”的英国贵族，小罗伯特·唐尼都表现出了卓越的模仿能力。在《卓别林》中，唐尼完全掌握了卓别林的个人特点，他用一副青涩面孔表现了喜剧大王在现实生活中的无奈、愤怒和对爱的渴望。在《钢铁侠》中，唐尼在角色中加入了自己的理解，塑造了一个天才、爱酗酒的花花公子，俏皮又不乏沧桑、老练 [1]  （《晶报》《环球人物》评）。
小罗伯特·唐尼会让一起表演的演员相形见绌，好像他们根本不会演戏 [51]  （《泰晤士报》评）。
“超级英雄”和“痞子”似乎是风马牛不相及的两个词，但在小罗伯特·唐尼身上却找到了契合点。在他饰演的钢铁侠这样的科技宅富家子身上，不带些张扬的痞气都不太合理。作为一位浴火重生的前浪子，小罗伯特·唐尼显然已将他与生俱来的痞气运用得恰到好处",,,,,,
赵小兰,赵小兰,Elaine Lan Chao,,,美国,汉族,中国上海市嘉定区,中华人民共和国 台北市,1953年03月26日,"商人,政府官员",,,,,,,"曼荷莲女子学院,哈佛大学",,,美国历史上第一位进入内阁的华裔美国第24任劳工部部长[2] 美国第18任交通部长[1] ,,,,,,,,,,
罗杰·威廉斯,罗杰·威廉斯,,,,美国,,,美国内布拉斯加州奥哈马,,,,,,,,,,,,,,,,,,,,,,
弗雷德·特朗普,弗雷德·特朗普,Christ Fred Trump,Frederick Christ Fred Trump,,美国,德意志人[2] ,,,1905年10月11日,,,,,,,,,,,,,,,,,,,,,
约翰·博尔顿,约翰·罗伯特·博尔顿,John Robert Bolton,,,美国,,,,1948年11月20日,律师 政治家,,,,,,,耶鲁大学,,,担任美国国家安全事务助理,,,,,,,,,,
延斯·施潘,延斯·施潘,Jens Spahn[3] ,,,德国,,,,1981年[4] ,政治家,,,,,,,,,,,,,,,,,,,,
加西亚,卡罗琳·加西亚,Caroline Garcia,,,法国,,,,1993年10月16日,,,,,,,,,,,,,,,,,,,,,
奥斯汀,简·奥斯汀,Jane Austen,,,英国,,,英国斯蒂文顿,1775年12月16日,小说家,,,,,,,,,,,《理智与情感》 《傲慢与偏见》 《爱玛》 《劝导》,,,,,,,,,
伊戈尔·莫尔古洛夫,伊戈尔·莫尔古洛夫,,,,俄罗斯,,,,,,,,,,,,,,,,,,,,,,,,,
罗伯特·赖克,罗伯特·赖克,,,,美国,,,,,,,,,,,,,,,《美国前景》杂志的共同创办人和编辑,"《成功的未来》,《超级资本主义》,《美国的逻辑:为什么美国的未来如此堪忧》。",,,,,,,,,
加尼翁,,Gagnon,,男,多哥,,,邦迪,1991年1月21日,,,,,,,,,,,,,,,,,,,,,
伊丽莎白·沃伦,伊丽莎白·沃伦,Elizabeth Warren,,女,美国,,,,,,马萨诸塞州参议员,,,,,,,,,,《终身理财计划:教你不一样的财富生活》,,,,,,,,,
巴什,巴什,,,,土耳其,,,土耳其,1989/2/14,,,,,,,,,,,,,,,,,,,,,
洛佩斯·奥夫拉多尔,安德烈斯·曼努埃尔·洛佩斯·奥夫拉多尔,Andrés Manuel López Obrador,,男,墨西哥,,,墨西哥塔瓦斯科州,1953年11月13日,,墨西哥总统,,,,,,墨西哥国立自治大学,,,,,,,,,"2020年4月10日晚，墨西哥总统洛佩斯同中国国家主席习近平通电话。 [10] 
2020年7月23日，洛佩斯在每日例行记者会上表示，自疫情发生以来，“已经有很多架次的航班，从中国把医疗物资运到了墨西哥”，“我们非常感谢中国、我们感谢中国政府、感谢中国领导人”。洛佩斯还称，在新冠疫苗方面，墨西哥也得到了中国方面的帮助。",,,,
卡尔·伯恩斯坦,卡尔·伯恩斯坦,Carl Berstein,,,美国,,,,1944年2月14日,记者,,,,,,,美国马里兰大学,,,水门事件主要调查者,,,,,,,,,,
蒂勒森,雷克斯·蒂勒森,Rex Tillerson,,,美国,,,"Wichita Falls, Texas, U.S.",1952年03月23日,埃克森美孚董事长兼CEO、第69任美国国务卿,,,,美国共和党,,,德克萨斯大学奥斯汀分校,,,,,,,,,,,,,
马蒂斯,詹姆斯·诺曼·马蒂斯,James Norman Mattis,Chaos(混乱)、Warrior Monk(战僧)、Mad Dog(疯狗),,美国,,,华盛顿哥伦比亚特区,1950年9月8日,军人、政府官员,,,,,,,美国中央华盛顿大学[2] ,,,曾指挥部队参与海湾战争美国国防部长,,,,,,,,,,
麦克马斯特,赫伯特·雷蒙德·麦克马斯特,Herbert Raymond McMaster,H. R. McMaster,男,美国,,,宾夕法尼亚州费城,1962年7月24日,军人、政府官员,,,,,,,西点军校,,,美国总统国家安全事务助理,,,,,,,,,,陆军中将
道格·杜西,道格·杜西,Doug Ducey,,男,美国,,,,,,,,,,,,,,,,,,,,,,,,,
李凤芹,李凤芹,,,,中国,汉族,,,1962年11月,,,,,,,,北京交通大学,,,曾荣获60多项国家及省(市)部级优秀工程设计奖和科技进步奖,,,,,,,,,,
迈克尔·沃尔夫,迈克尔·沃夫,Michael Wolf,,,,,,德国,1954年,摄影师,,,,,,,英国Essen大学,,,,,,,,,,,,,
绍利·尼尼斯托,绍利·尼尼斯托,Sauli Niinisto,,,芬兰,,,芬兰西南部萨罗市,1948年8月24日,政治家,,,,芬兰民族联合党,,,图尔库大学,,,芬兰总统(2012-)芬兰议会议长(2007-2011年)芬兰财政部长(1996-2003年)芬兰司法部长(1995-1996年),,,,,,"2010年3月访华，与吴邦国会见。
2019年1月13日至16日，应国家主席习近平邀请，芬兰共和国总统绍利·尼尼斯托于对中国进行国事访问。 [1]  1月15日上午，国务院总理李克强在人民大会堂会见来华进行国事访问的芬兰总统绍利·尼尼斯托。
2020年4月14日晚，国家主席习近平同芬兰总统尼尼斯托通电话。",,"尼尼斯托在竞选时强调，芬兰对全世界开放，发展同世界各国的关系。芬兰首先要同其近邻俄罗斯保持睦邻关系，进一步加强同其他北欧国家的合作；与此同时，继续同美国保持良好关系，加强同迅速崛起的中国的友好关系。
尼尼斯托还认为，芬兰应该在欧洲发挥建设性作用。尽管欧债危机使欧元这一共同货币失去光彩，但作为欧盟和欧元区成员，芬兰应继续留在欧元区内。他不赞成欧盟国家负有过多债务，过多负债已造成严重危机。他主张，欧元区应该回到“不救助”的原则上来，即其他成员国不应对陷入财政危机的成员国给予救助。
在芬兰是否加入北约问题上，尼尼斯托强调，在防务方面，芬兰应独立作出决策。但他认为，加入北约对芬兰来说并不是一个适时的问题，但这是芬兰的一个选择。即使芬兰将来准备加入北约的话，这一问题应以全民公决的方式来解决。
在国内政策方面，尼尼斯托更为关注芬兰儿童和青少年被边缘化以及青年失业问题。他承诺，在当选总统后将任命一个工作小组，寻找解决和防止一些儿童和青少年被歧视以及青年失业这一严重问题，努力改善青少年的生活状况。他同时强调，在欧洲经济不景气的情况下，芬兰人要脚踏实地勤奋工作，进行创新，以实现芬兰政府恢复和加快经济增长的目标。",,
温伯格,斯蒂芬·温伯格,Steven Weinberg,,,,,,,1933年,教师,,教授,,,,,康奈尔大学,,,诺贝尔物理奖,《广义相对论与引力论》《最初三分钟》,,,,,,,,,
吉娜·雷蒙多,吉娜·雷蒙多,Gina Raimondo,,,,,,,,,美国罗得岛州州长,,,,,,,,,,,,,,,,,,,
约翰·爱德华兹,约翰·爱德华兹,John Edwards,,,美国,,,北卡罗来纳州赛尼卡,1953年6月10日,"政治家 ,律师",,,,,,,北卡罗来纳大学法学博士学位,,,美国民主党前参议员,,,,,,,,"在2004年民主党总统提名的竞选活动中，爱德华兹完成了“国家政治意识测试”(National PoliticalAwarenessTest)。爱德华兹关于国家问题的一些立场、思想及经历形成了他的竞选政纲，包括：
军事：爱德华兹支持增加军队补助，支持一项针对子女在17岁以下的军人的优惠税务政策，主张提高美国军队工资待遇、住房条件及医疗保障。爱德华兹认为应该为士兵的家庭解决更多需求，并引进立法，对现役人员及预备役军人家庭的孩子施于更多关爱。
经济：在恢复长期财政纪律、平衡美国商业活动的同时，爱德华兹提出一项短期内刺激经济发展的计划。爱德华兹努力争取更多的资源以用于帮助个人和集体从贸易企业不景气中复苏过来。
教育：增强公立学校是爱德华兹首先关注的重点之一。爱德华兹反对私立学校教育券计划。
安全及外交政策：爱德华兹认为国家必须得到保护，但不应以牺牲权利和自由为前提。爱德华兹坚持美国自卫的权利及在国际法范围内行事的权利。
爱德华兹支持通过立法来改善机场安全、增强海港安全，降低抵抗生物恐怖活动的脆弱性，加强执法机构，以将已知的恐怖分子拒于国门之外。他强调共同立法强化核运载物的安全(集装箱强度、装运护航、紧急协调)。爱德华兹倡议立法以和网络恐怖主义作斗争。
爱德华兹建议设立新的国内安全情报机构以和恐怖组织作斗争，增强边界安全，加强恐怖分子的目标在遭遇袭击时的抵抗能力，以及开发更好的紧急预警系统。
移民：爱德华兹赞同增强边界安全，减少边界死亡，解决大规模非法移民涌入的问题。爱德华兹是鼓励家庭团聚，倡议公民与移民服务局解决所积压移民安置问题的建言人。爱德华兹主张加快在美国军队服役的移民的公民权申请并主张免收手续费。爱德华兹反对建立不授予公民权的外来工人项目。爱德华兹支持全部H-1B签证的主要扩展。
法律及司法：爱德华兹反对种族歧视。他赞同给美国境内所有那些人赋予他们应得的程序权利。
同性恋权利：尽管爱德华兹不支持同性恋婚姻合法化，但他反对定义婚姻的宪法修正案。他支持同性恋夫妇的收养权利，支持废除美国军队中关于同性恋的“不问、不传”政策。",,
